w1,w2,w3,tau,seed_model,acc_t1,acc_t2,acc_t3,gain,r_norm,delta_norm
0.0,0.3,1.0,3.0,4,0.775,0.86,0.89,0.11499999999999999,2.3342673417563393,1.6334067743960083
0.0,0.3,1.0,3.0,6,0.785,0.735,0.735,-0.050000000000000044,1.693970425278177,0.7722851434331471
0.0,0.3,1.0,3.0,5,0.79,0.795,0.79,0.0,2.0340270949425476,1.00189640319829
0.0,0.3,1.0,3.0,8,0.73,0.775,0.795,0.06500000000000006,2.1414725815629474,1.3650659456327423
0.0,0.3,1.0,3.0,9,0.82,0.825,0.83,0.010000000000000009,2.063675874221431,1.3450923967745707
0.0,0.3,1.0,5.0,0,0.79,0.825,0.85,0.05999999999999994,1.5817417265802822,1.293125650262773
0.0,0.3,1.0,5.0,1,0.825,0.875,0.87,0.04500000000000004,1.6304420849331074,1.3178519226025225
0.0,0.3,1.0,5.0,2,0.71,0.8,0.82,0.10999999999999999,2.0450125905706797,1.616911565401658
0.0,0.3,1.0,5.0,4,0.8,0.88,0.895,0.09499999999999997,1.7124259692690214,1.1621437364453377
0.0,0.3,1.0,5.0,3,0.785,0.795,0.79,0.0050000000000000044,1.8662190441795012,1.162632268091433
0.0,0.3,1.0,5.0,7,0.815,0.83,0.815,0.0,1.362213303222723,0.9148407098914066
0.0,0.3,1.0,5.0,6,0.81,0.775,0.77,-0.040000000000000036,1.144371063239936,0.5398979797385308
0.0,0.3,1.0,5.0,5,0.805,0.795,0.785,-0.020000000000000018,1.410227797219424,0.6804949641406343
0.0,0.3,1.0,5.0,8,0.78,0.775,0.77,-0.010000000000000009,1.3341140075360602,0.7704171564392128
0.0,0.5,1.0,1.0,0,0.765,0.855,0.82,0.05499999999999994,3.662931718775135,2.0184163400929735
0.0,0.3,1.0,5.0,9,0.815,0.82,0.83,0.015000000000000013,1.455960579421879,0.9298040269923732
0.0,0.5,1.0,1.0,1,0.805,0.84,0.835,0.029999999999999916,3.456469108118845,2.022234222854395
0.0,0.5,1.0,1.0,3,0.72,0.79,0.78,0.06000000000000005,3.751742773545649,2.0331238294379146
0.0,0.5,1.0,1.0,4,0.735,0.84,0.815,0.07999999999999996,3.7754287807215077,1.9114303705474938
0.0,0.5,1.0,1.0,2,0.685,0.76,0.79,0.10499999999999998,3.467566179328957,2.5837179236677894
0.0,0.5,1.0,1.0,6,0.735,0.69,0.66,-0.07499999999999996,3.082478834245726,1.2846032035934782
0.0,0.5,1.0,1.0,5,0.75,0.795,0.79,0.040000000000000036,3.0593249169746564,1.6466238187219557
0.0,0.5,1.0,1.0,7,0.765,0.8,0.79,0.025000000000000022,3.0596259880976517,1.6860367795631572
0.0,0.5,1.0,1.0,8,0.665,0.765,0.775,0.10999999999999999,3.7642566640900235,2.3645795775513263
0.0,0.5,1.0,1.5,1,0.79,0.86,0.855,0.06499999999999995,3.107713402075275,1.9032336266636343
0.0,0.5,1.0,1.5,0,0.82,0.84,0.85,0.030000000000000027,3.178182046630435,1.9118319161067348
0.0,0.5,1.0,1.0,9,0.75,0.82,0.8,0.050000000000000044,3.361994112025364,2.241343576922283
0.0,0.5,1.0,1.5,3,0.74,0.79,0.775,0.03500000000000003,3.4008164535323773,1.9035759723964845
0.0,0.5,1.0,1.5,2,0.67,0.775,0.795,0.125,3.201232657983022,2.5282155570503373
0.0,0.5,1.0,1.5,4,0.77,0.85,0.85,0.07999999999999996,3.145974475349214,1.7942091461688119
0.0,0.5,1.0,1.5,5,0.75,0.81,0.79,0.040000000000000036,2.8272124214591736,1.4846635351415818
0.0,0.5,1.0,1.5,6,0.77,0.69,0.695,-0.07500000000000007,2.5841410080739795,1.0843873887467976
0.0,0.5,1.0,1.5,7,0.82,0.82,0.805,-0.014999999999999902,2.6726048511244276,1.6003475881741636
0.0,0.5,1.0,1.5,8,0.69,0.755,0.755,0.06500000000000006,3.2053926996325544,2.061209904702415
0.0,0.5,1.0,1.5,9,0.775,0.835,0.84,0.06499999999999995,2.8441768160220717,1.7925604254279661
0.0,0.5,1.0,2.0,0,0.795,0.835,0.82,0.02499999999999991,2.6679129740233027,1.8778939465170332
0.0,0.5,1.0,2.0,4,0.76,0.855,0.845,0.08499999999999996,2.737057239469533,1.7660242101212373
0.0,0.5,1.0,2.0,5,0.73,0.795,0.79,0.06000000000000005,2.5591131734364527,1.3443456451931741
0.0,0.5,1.0,2.0,2,0.655,0.79,0.78,0.125,2.9612100328918403,2.4192350571028074
