seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
4,C2,0,0.9,0.535000,0.560000,0.535000,0.000000,0.228160,2.315424,5.982370
4,Baseline,0,1.0,0.505000,0.675000,0.620000,0.115000,0.203051,3.498422,7.016572
4,A,0,1.0,0.505000,0.570000,0.520000,0.015000,0.248211,0.000000,6.753611
4,C1,avg30,1.0,0.505000,,0.525500,0.020500,,,
4,C2,0,1.0,0.505000,0.505000,0.500000,-0.005000,0.258215,2.398848,6.533529
5,Baseline,0,0.0,1.000000,1.000000,1.000000,0.000000,0.060164,3.022396,2.398911
5,A,0,0.0,1.000000,1.000000,1.000000,0.000000,0.309625,0.000000,0.000000
5,C1,avg30,0.0,1.000000,,0.646000,-0.354000,,,
5,C2,0,0.0,1.000000,1.000000,1.000000,0.000000,0.098799,3.009258,2.321916
5,Baseline,0,0.1,0.995000,1.000000,1.000000,0.005000,0.061231,3.009577,2.478499
5,A,0,0.1,0.995000,1.000000,1.000000,0.005000,0.316052,0.000000,0.635796
5,C1,avg30,0.1,0.995000,,0.649000,-0.346000,,,
5,C2,0,0.1,0.995000,1.000000,1.000000,0.005000,0.102346,3.023622,2.414716
5,Baseline,0,0.2,0.910000,1.000000,1.000000,0.090000,0.064577,2.981245,2.672966
5,A,0,0.2,0.910000,0.945000,0.925000,0.015000,0.256845,0.000000,1.256016
5,C1,avg30,0.2,0.910000,,0.642500,-0.267500,,,
5,C2,0,0.2,0.910000,0.990000,1.000000,0.090000,0.120679,3.023577,2.705526
5,Baseline,0,0.3,0.825000,0.980000,1.000000,0.175000,0.072100,2.940284,2.916592
5,A,0,0.3,0.825000,0.835000,0.875000,0.050000,0.209290,0.000000,1.878389
5,C1,avg30,0.3,0.825000,,0.633000,-0.192000,,,
5,C2,0,0.3,0.825000,0.945000,0.980000,0.155000,0.125022,3.022418,3.093324
5,Baseline,0,0.4,0.710000,0.950000,0.995000,0.285000,0.085892,2.900638,3.194522
5,A,0,0.4,0.710000,0.745000,0.810000,0.100000,0.160311,0.000000,2.483523
5,C1,avg30,0.4,0.710000,,0.615833,-0.094167,,,
5,C2,0,0.4,0.710000,0.860000,0.945000,0.235000,0.121439,3.034452,3.508246
5,Baseline,0,0.5,0.645000,0.890000,0.960000,0.315000,0.078875,2.880123,3.494036
5,A,0,0.5,0.645000,0.680000,0.755000,0.110000,0.102019,0.000000,3.059408
5,C1,avg30,0.5,0.645000,,0.587667,-0.057333,,,
5,C2,0,0.5,0.645000,0.795000,0.840000,0.195000,0.081505,3.059409,3.947407
5,Baseline,0,0.6,0.595000,0.835000,0.925000,0.330000,0.072975,2.871697,3.812906
5,A,0,0.6,0.595000,0.620000,0.670000,0.075000,0.052393,0.000000,3.619434
5,C1,avg30,0.6,0.595000,,0.557833,-0.037167,,,
5,C2,0,0.6,0.595000,0.750000,0.800000,0.205000,0.061240,3.095514,4.424566
5,Baseline,0,0.7,0.555000,0.760000,0.860000,0.305000,0.054575,2.878413,4.166379
5,A,0,0.7,0.555000,0.595000,0.630000,0.075000,0.088210,0.000000,4.152708
5,C1,avg30,0.7,0.555000,,0.529333,-0.025667,,,
5,C2,0,0.7,0.555000,0.700000,0.740000,0.185000,0.064604,3.137234,4.899053
5,Baseline,0,0.8,0.520000,0.690000,0.795000,0.275000,0.062336,2.893031,4.545607
5,A,0,0.8,0.520000,0.565000,0.580000,0.060000,0.116738,0.000000,4.668240
5,C1,avg30,0.8,0.520000,,0.510167,-0.009833,,,
5,C2,0,0.8,0.520000,0.645000,0.665000,0.145000,0.114468,3.178313,5.364529
5,Baseline,0,0.9,0.490000,0.640000,0.765000,0.275000,0.076737,2.916939,4.950560
5,A,0,0.9,0.490000,0.540000,0.555000,0.065000,0.152879,0.000000,5.175824
5,C1,avg30,0.9,0.490000,,0.487500,-0.002500,,,
5,C2,0,0.9,0.490000,0.585000,0.620000,0.130000,0.167283,3.223674,5.832238
5,Baseline,0,1.0,0.470000,0.600000,0.685000,0.215000,0.118073,2.945298,5.368639
5,A,0,1.0,0.470000,0.500000,0.540000,0.070000,0.175491,0.000000,5.674767
5,C1,avg30,1.0,0.470000,,0.468833,-0.001167,,,
5,C2,0,1.0,0.470000,0.540000,0.605000,0.135000,0.180912,3.267024,6.298826
6,Baseline,0,0.0,0.830000,1.000000,1.000000,0.170000,0.210885,3.027082,1.911914
6,A,0,0.0,0.830000,0.830000,0.830000,0.000000,0.253463,0.000000,0.000000
6,C1,avg30,0.0,0.830000,,0.674167,-0.155833,,,
6,C2,0,0.0,0.830000,0.640000,0.590000,-0.240000,0.332385,2.421417,1.116831
6,Baseline,0,0.1,0.805000,1.000000,0.995000,0.190000,0.211264,3.015600,1.992032
6,A,0,0.1,0.805000,0.805000,0.800000,-0.005000,0.222507,0.000000,0.537802
6,C1,avg30,0.1,0.805000,,0.680500,-0.124500,,,
6,C2,0,0.1,0.805000,0.735000,0.780000,-0.025000,0.228264,2.405851,1.253365
6,Baseline,0,0.2,0.785000,0.970000,0.980000,0.195000,0.197641,2.977485,2.168595
6,A,0,0.2,0.785000,0.760000,0.775000,-0.010000,0.192550,0.000000,1.040946
6,C1,avg30,0.2,0.785000,,0.669667,-0.115333,,,
6,C2,0,0.2,0.785000,0.765000,0.755000,-0.030000,0.191022,2.400702,1.579836
6,Baseline,0,0.3,0.755000,0.915000,0.970000,0.215000,0.199740,2.917290,2.405241
6,A,0,0.3,0.755000,0.725000,0.745000,-0.010000,0.164435,0.000000,1.547953
6,C1,avg30,0.3,0.755000,,0.655667,-0.099333,,,
6,C2,0,0.3,0.755000,0.725000,0.690000,-0.065000,0.177815,2.418402,1.940917
6,Baseline,0,0.4,0.700000,0.860000,0.935000,0.235000,0.183411,2.846613,2.660124
6,A,0,0.4,0.700000,0.625000,0.715000,0.015000,0.140651,0.000000,2.047001
6,C1,avg30,0.4,0.700000,,0.628333,-0.071667,,,
6,C2,0,0.4,0.700000,0.660000,0.655000,-0.045000,0.088838,2.448219,2.338903
6,Baseline,0,0.5,0.630000,0.765000,0.885000,0.255000,0.149545,2.809443,2.924064
6,A,0,0.5,0.630000,0.600000,0.660000,0.030000,0.088548,0.000000,2.518287
6,C1,avg30,0.5,0.630000,,0.588167,-0.041833,,,
6,C2,0,0.5,0.630000,0.625000,0.620000,-0.010000,0.067982,2.493784,2.746305
6,Baseline,0,0.6,0.590000,0.720000,0.795000,0.205000,0.089781,2.821223,3.195855
6,A,0,0.6,0.590000,0.560000,0.620000,0.030000,0.051926,0.000000,2.982054
6,C1,avg30,0.6,0.590000,,0.542833,-0.047167,,,
6,C2,0,0.6,0.590000,0.575000,0.570000,-0.020000,0.088494,2.540893,3.139734
6,Baseline,0,0.7,0.570000,0.620000,0.750000,0.180000,0.069499,2.855045,3.486154
6,A,0,0.7,0.570000,0.505000,0.610000,0.040000,0.049134,0.000000,3.438353
6,C1,avg30,0.7,0.570000,,0.509167,-0.060833,,,
6,C2,0,0.7,0.570000,0.540000,0.550000,-0.020000,0.074542,2.597323,3.544027
6,Baseline,0,0.8,0.520000,0.565000,0.675000,0.155000,0.076556,2.879361,3.805558
6,A,0,0.8,0.520000,0.475000,0.535000,0.015000,0.062184,0.000000,3.888760
6,C1,avg30,0.8,0.520000,,0.475667,-0.044333,,,
6,C2,0,0.8,0.520000,0.480000,0.515000,-0.005000,0.123398,2.649870,3.954458
6,Baseline,0,0.9,0.465000,0.545000,0.620000,0.155000,0.090299,2.900522,4.131148
6,A,0,0.9,0.465000,0.455000,0.485000,0.020000,0.119747,0.000000,4.332048
6,C1,avg30,0.9,0.465000,,0.443167,-0.021833,,,
6,C2,0,0.9,0.465000,0.435000,0.460000,-0.005000,0.171688,2.703891,4.365353
6,Baseline,0,1.0,0.440000,0.495000,0.595000,0.155000,0.103703,2.920015,4.466964
6,A,0,1.0,0.440000,0.415000,0.470000,0.030000,0.148053,0.000000,4.769800
6,C1,avg30,1.0,0.440000,,0.418333,-0.021667,,,
6,C2,0,1.0,0.440000,0.405000,0.440000,0.000000,0.216405,2.757700,4.786284
7,Baseline,0,0.0,1.000000,1.000000,1.000000,0.000000,0.089890,2.751964,2.070021
7,A,0,0.0,1.000000,1.000000,1.000000,0.000000,0.218583,0.000000,0.000000
7,C1,avg30,0.0,1.000000,,0.652500,-0.347500,,,
7,C2,0,0.0,1.000000,0.840000,0.840000,-0.160000,0.401164,2.516791,1.959154
7,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.092920,2.746939,2.166423
7,A,0,0.1,1.000000,1.000000,1.000000,0.000000,0.227848,0.000000,0.640705
7,C1,avg30,0.1,1.000000,,0.645000,-0.355000,,,
7,C2,0,0.1,1.000000,0.785000,0.810000,-0.190000,0.355216,2.508709,2.093554
