seed,w1,w2,tau,gain,acc_t1,acc_t3,final_loss
4,1.0,0.2,2.0,0.06500000000000006,0.85,0.915,0.2749673894968302
5,1.0,0.2,2.0,0.10999999999999999,0.77,0.88,0.37639254200536415
6,1.0,0.2,2.0,0.12,0.74,0.86,0.5658154710118165
7,1.0,0.2,2.0,0.025000000000000022,0.845,0.87,0.430696658923516
8,1.0,0.2,2.0,0.14,0.77,0.91,0.38973062509013745
9,1.0,0.2,2.0,0.09499999999999997,0.865,0.96,0.28447527401919875
0,1.0,0.2,3.0,0.09500000000000008,0.84,0.935,0.3381499559174195
1,1.0,0.2,3.0,0.04500000000000004,0.88,0.925,0.25907413966737797
2,1.0,0.2,3.0,0.125,0.825,0.95,0.3338804897840205
3,1.0,0.2,3.0,0.07499999999999996,0.765,0.84,0.4209188769162992
4,1.0,0.2,3.0,0.06000000000000005,0.86,0.92,0.2832629812549317
5,1.0,0.2,3.0,0.07999999999999996,0.775,0.855,0.4335859995299588
6,1.0,0.2,3.0,0.10999999999999999,0.755,0.865,0.5420376368574941
7,1.0,0.2,3.0,0.020000000000000018,0.85,0.87,0.4410674777973669
8,1.0,0.2,3.0,0.15000000000000002,0.765,0.915,0.3962301429995496
9,1.0,0.2,3.0,0.07499999999999996,0.865,0.94,0.30179823943911765
0,1.0,1.0,1.0,0.1050000000000001,0.825,0.93,0.349275729539296
1,1.0,1.0,1.0,0.040000000000000036,0.875,0.915,0.2336672490402744
2,1.0,1.0,1.0,0.12,0.82,0.94,0.2958040999180492
3,1.0,1.0,1.0,0.15000000000000002,0.72,0.87,0.3733533447767509
4,1.0,1.0,1.0,0.11499999999999999,0.83,0.945,0.2570885877369562
5,1.0,1.0,1.0,0.16500000000000004,0.77,0.935,0.320368528854593
6,1.0,1.0,1.0,0.13,0.695,0.825,0.6286879091793106
7,1.0,1.0,1.0,0.04500000000000004,0.85,0.895,0.45566225344616185
8,1.0,1.0,1.0,0.13,0.78,0.91,0.35783701197083034
9,1.0,1.0,1.0,0.09999999999999998,0.86,0.96,0.23133488636714122
0,1.0,1.0,1.5,0.10000000000000009,0.835,0.935,0.3286246217077053
1,1.0,1.0,1.5,0.040000000000000036,0.865,0.905,0.23315476826791592
2,1.0,1.0,1.5,0.125,0.825,0.95,0.2947914858274105
3,1.0,1.0,1.5,0.16000000000000003,0.72,0.88,0.40417173143419743
4,1.0,1.0,1.5,0.1100000000000001,0.825,0.935,0.25052458197963257
5,1.0,1.0,1.5,0.14500000000000002,0.79,0.935,0.31544984147586425
6,1.0,1.0,1.5,0.09499999999999997,0.73,0.825,0.5947470790478306
7,1.0,1.0,1.5,0.06500000000000006,0.845,0.91,0.427190230499587
8,1.0,1.0,1.5,0.16500000000000004,0.765,0.93,0.3596916305173592
9,1.0,1.0,1.5,0.10499999999999998,0.86,0.965,0.24053270347942862
0,1.0,1.0,2.0,0.10999999999999999,0.83,0.94,0.31552528866302365
1,1.0,1.0,2.0,0.050000000000000044,0.87,0.92,0.23274887471106426
2,1.0,1.0,2.0,0.12,0.83,0.95,0.295153934014309
3,1.0,1.0,2.0,0.11499999999999999,0.73,0.845,0.40696521177113043
4,1.0,1.0,2.0,0.07500000000000007,0.85,0.925,0.2532993559618523
5,1.0,1.0,2.0,0.16500000000000004,0.77,0.935,0.3249760719873987
6,1.0,1.0,2.0,0.14,0.72,0.86,0.5779710185525516
7,1.0,1.0,2.0,0.06000000000000005,0.84,0.9,0.4188314106495506
8,1.0,1.0,2.0,0.14,0.77,0.91,0.36092689713989656
9,1.0,1.0,2.0,0.10999999999999999,0.855,0.965,0.24770672507837585
0,1.0,1.0,3.0,0.10000000000000009,0.835,0.935,0.30629649683437443
1,1.0,1.0,3.0,0.06500000000000006,0.87,0.935,0.23404903314488584
2,1.0,1.0,3.0,0.135,0.815,0.95,0.30261533127436047
3,1.0,1.0,3.0,0.09999999999999998,0.75,0.85,0.4143637128679073
4,1.0,1.0,3.0,0.06500000000000006,0.855,0.92,0.263685476879004
5,1.0,1.0,3.0,0.09999999999999998,0.785,0.885,0.3682380396224674
6,1.0,1.0,3.0,0.135,0.74,0.875,0.5625277941848136
7,1.0,1.0,3.0,0.05500000000000005,0.835,0.89,0.4256851249595416
8,1.0,1.0,3.0,0.14,0.765,0.905,0.37944507729628973
9,1.0,1.0,3.0,0.08999999999999997,0.865,0.955,0.2638495507624751
