seed_model,trial,wrong_trial,pred_t1,correct_t1,cos_div_t2,cos_div_t3,cos_div_mean
0,127,65,1,1,0.043687794331033536,0.06381490528411227,0.0537513498075729
0,128,69,3,0,0.11584212024723561,0.2706404336843715,0.19324127696580357
0,129,112,3,1,0.754127524515191,0.26547255571673345,0.5098000401159622
0,130,39,0,1,0.40156831723825837,0.29602512653579915,0.34879672188702876
0,131,33,4,1,0.18803817303411474,0.18815607283658653,0.18809712293535064
0,132,62,3,1,0.4880017281425737,0.16127905488253091,0.3246403915125523
0,133,91,0,1,0.47664485017890823,0.41909176676442284,0.44786830847166553
0,134,124,1,1,0.07887433626654461,0.02791399589405108,0.053394166080297845
0,135,20,0,1,0.23028354315092003,0.3157792663427117,0.27303140474681586
0,136,165,1,1,0.07448130477141823,0.08043116019804764,0.07745623248473293
0,137,128,3,0,0.16296324603759182,0.4513474946698992,0.3071553703537455
0,138,55,3,1,0.6300120869380113,0.5096882781014438,0.5698501825197275
0,139,60,1,1,0.09766503614149546,0.004565442466057279,0.05111523930377637
0,140,19,0,1,0.004183084409224436,0.010373986255768686,0.007278535332496561
0,141,90,0,1,0.7944921613993016,0.47077743812541883,0.6326347997623603
0,142,181,3,1,0.25098924154305247,0.4833064644796613,0.3671478530113569
0,143,135,0,1,0.1581680865874625,0.8127770853336426,0.48547258596055254
0,144,88,2,1,0.6302193714887896,0.14238103609202324,0.3863002037904064
0,145,35,4,1,0.15224388500287256,0.06147447572632847,0.10685918036460051
0,146,49,1,1,0.23839616612284298,0.026387099809194625,0.1323916329660188
0,147,145,4,1,0.15990182098218753,0.05461964727286561,0.10726073412752657
0,148,183,1,0,0.2010388424798224,0.45472630977769257,0.3278825761287575
0,149,156,4,0,1.0373053119837743,1.10533954993335,1.071322430958562
0,150,40,2,0,0.28114337162924086,0.21102075056296998,0.24608206109610542
0,151,114,2,1,0.08770285930394406,0.012597822154541971,0.050150340729243015
0,152,139,1,1,0.23243029119667336,0.007770565593072876,0.12010042839487312
0,153,19,0,1,0.04805737140034816,0.0354005050804892,0.04172893824041868
0,154,185,2,0,0.21704378569871186,0.0893014563010952,0.15317262099990353
0,155,102,4,1,0.39245623708422306,0.3877496381869482,0.3901029376355856
0,156,158,4,0,0.6389893851591351,0.961225575055952,0.8001074801075435
0,157,85,1,1,0.009509285457834138,0.007480397799887628,0.008494841628860883
0,158,156,4,0,0.6389893851591351,0.961225575055952,0.8001074801075435
0,159,98,4,1,0.5469249756476355,0.4247694774659877,0.4858472265568116
